0	NoCut	2.74e+08	8.74e+07	3.135
1	MET-Trigger	1.45e+08	1.14e+07	12.771
2	Electron-Trigger	8.41e+05	5.98e+05	1.404
3	N(FatJet)=1	1.01e+05	7.93e+04	1.276
4	$N_{IsoAddjet}\leq2$	7.45e+04	5.84e+04	1.275
5	$N_{IsoLooseBtagjet}=1$	2.40e+04	2.08e+04	1.151
6	$N_{e}=1$	1.39e+04	1.52e+04	0.913
7	$p_{T}^{miss}>50$GeV	1.37e+04	1.51e+04	0.903
8	Recoil$>250$GeV	9.36e+03	1.04e+04	0.900
9	MET-Filter	9.35e+03	1.04e+04	0.900
10	$N_{tau}=0$	9.18e+03	1.03e+04	0.893
11	$N_{\gamma}=0$	9.11e+03	1.02e+04	0.891
12	HEM-veto	8.74e+03	9.74e+03	0.898
